Id,Designator,Package,Quantity,Designation,Supplier and ref
1,U102,DIP-14_W7.62mm,1,4066,
2,"R7,R1",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,200,
3,D2,LED_D5.0mm,1,LED,
4,D1,LED_D5.0mm-4_RGB,1,LED_RCGB,
5,"R3,R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,150,
6,J99,C64_PEG_HOLE,1,PEG_HOLE,
7,U101,DIP-14_W7.62mm,1,74LS02,
8,SW101,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,1,SW_DIP_x04,
9,"R6,R5,R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,1k,
10,U2,dil_28-600_socket,1,27512,
11,C1,C_0805+THT,1,100n,
12,SW1,PCB_PUSH,1,RESET_SW,
13,U1,C64-Cart,1,C64-Exp-Port,
